ad | glede na, k
ag | AGA - nižji vojaški ali civilni oblastnik
ah | izraža obžalovanje, naveličanost
aj | izraža telesno bolečino
ak | drog z železno kljuko za plavljenje lesa
am | AMA - [gem.] nabiralka morskih školjk bisernic
ar | ploščinska mera, 100 m2
as | igralna karta z enim znakom na sredi, navadno z najvišjo vrednostjo
at | ATA - moški v odnosu do svojega otroka
au | izraža telesno bolečino
av | izraža telesno bolečino
ba | izraža malomarno zavrnitev
be | posnema glas ovc
bi | za izražanje možnosti, negotovosti
bo | BITI - izraža materialno ali duhovno navzočnost v stvarnosti
br | izraža zoprnost, grozo, mraz
bu | posnema tuljenje, hud jok
bz | posnema visok glas pri brenčanju ali sikanju
ci | posnema glas sinice ali nekaterih drugih ptic
ck | posnema odsekani glas pri pretrgu, udarcu, trku
ča | (klic volu) na desno!
če | za izražanje pogoja, s katerim se uresniči dejanje nadrednega stavka
či | posnema glas jerebice ali nekaterih drugih ptic
da | za uvajanje stavka, ki dopolnjuje nadrednega
de | DEJATI - izraziti z besedami, reči
do | solmizacijski zlog, ki označuje ton c ali prvo stopnjo v lestvici
eh | izraža vdano, ravnodušno prepričanje o povedanem
ej | izraža zadovoljnost, navdušenje
en | izraža število ena [1]
ep | pripovedno literarno delo v verzih, ki obširno govori o kakem velikem in slavnem dogodku
er | ERA - omejeno trajanje z razmerami, okoliščinami, stvarnostjo vred
es | za polton znižani ton e
et | ETA - sedma črka grške abecede
fa | solmizacijski zlog, ki označuje ton f ali četrto stopnjo v lestvici
fc | FEC - izraža odslovitev, odpust
fi | izraža zoprnost
ga | stvar, ki se ne mara ali ne more imenovati
go | japonska namizna igra z belimi in črnimi kamenčki
ha | posnema glas pri smejanju
he | izraža opozorilo
hi | posnema glas pri smejanju
hk | posnema glas pri kolcanju
hm | izraža obotavljanje, pomislek, dvom
ho | posnema glas pri smejanju
hu | izraža občutek groze, zoprnosti
ib | IBA - (nar.) grm ali drevo s širokimi, jajčastimi, na spodnji strani belo dlakavimi listi, Salix caprea; IVA
ic | ICA - telica ali majhna krava
