aachenska | AACHENSKI - [pravopis]
aachenske | AACHENSKI - [pravopis]
aachenski | [pravopis]
aachensko | AACHENSKI - [pravopis]
aalenijem | AALENIJ - [geol.] stopnja srednje jure med toarcijem in bajocijem
aalstskem | AALSTSKI - [pravopis]
aalstskih | AALSTSKI - [pravopis]
aalstskim | AALSTSKI - [pravopis]
aaravskem | AARAVSKI - [pravopis]
aaravskih | AARAVSKI - [pravopis]
aaravskim | AARAVSKI - [pravopis]
aargavska | AARGAVSKI - [pravopis]
aargavske | AARGAVSKI - [pravopis]
aargavski | [pravopis]
aargavsko | AARGAVSKI - [pravopis]
abadanska | ABADANSKI - [pravopis]
abadanske | ABADANSKI - [pravopis]
abadanski | [pravopis]
abadansko | ABADANSKI - [pravopis]
abakusoma | ABAK - plošča za mehanično računanje
abalonska | ABALONSKI - [gem.] v zvezi »abalonska školjka«: polž iz rodu Haliotis v vodah Amerike, Avstralije, Japonske in Koreje, v katerem nastajajo barvni baročni biseri
abalonske | ABALONSKI - [gem.] v zvezi »abalonska školjka«: polž iz rodu Haliotis v vodah Amerike, Avstralije, Japonske in Koreje, v katerem nastajajo barvni baročni biseri
abalonski | [gem.] v zvezi »abalonska školjka«: polž iz rodu Haliotis v vodah Amerike, Avstralije, Japonske in Koreje, v katerem nastajajo barvni baročni biseri
abalonsko | ABALONSKI - [gem.] v zvezi »abalonska školjka«: polž iz rodu Haliotis v vodah Amerike, Avstralije, Japonske in Koreje, v katerem nastajajo barvni baročni biseri
abažurjem | ABAŽUR - [pravopis]
abažurjev | ABAŽUR - [pravopis]
abažurjih | ABAŽUR - [pravopis]
abderitih | ABDERIT - omejen, ozkosrčen človek
abderitka | [pravopis]
abderitke | ABDERITKA - [pravopis]
abderitki | ABDERITKA - [pravopis]
abderitko | ABDERITKA - [pravopis]
abderitom | ABDERIT - omejen, ozkosrčen človek
abderitov | ABDERIT - omejen, ozkosrčen človek
abderskem | ABDERSKI - [pravopis]
abderskih | ABDERSKI - [pravopis]
abderskim | ABDERSKI - [pravopis]
abdiciraj | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdiciral | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdiciram | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdiciraš | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdicirat | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdikacij | ABDIKACIJA - odpoved kakemu položaju, zlasti vladarski oblasti, odstop
abdomenih | ABDOMEN
abdomenom | ABDOMEN
abdomenov | ABDOMEN
abdomnoma | ABDOMEN
abdukcija | odmik, odmaknitev (uda) od navadne lege
abdukcije | ABDUKCIJA - odmik, odmaknitev (uda) od navadne lege
abdukciji | ABDUKCIJA - odmik, odmaknitev (uda) od navadne lege
abdukcijo | ABDUKCIJA - odmik, odmaknitev (uda) od navadne lege
abecedama | ABECEDA - ustaljeno zaporedje črk v kaki pisavi, zlasti v latinici
abecedami | ABECEDA - ustaljeno zaporedje črk v kaki pisavi, zlasti v latinici
abecedira | ABECEDIRATI - urejati po abecedi
abecednem | ABECEDEN - nanašajoč se na abecedo
abecednic | ABECEDNICA - prvo berilo, abecednik
abecednih | ABECEDEN - nanašajoč se na abecedo
abecednik | učbenik za začetni pouk branja in pisanja, prvo berilo
abecednim | ABECEDEN - nanašajoč se na abecedo
