aachenskem | AACHENSKI - [pravopis]
aachenskih | AACHENSKI - [pravopis]
aachenskim | AACHENSKI - [pravopis]
aalstskega | AALSTSKI - [pravopis]
aalstskemu | AALSTSKI - [pravopis]
aalstskima | AALSTSKI - [pravopis]
aalstskimi | AALSTSKI - [pravopis]
aaravskega | AARAVSKI - [pravopis]
aaravskemu | AARAVSKI - [pravopis]
aaravskima | AARAVSKI - [pravopis]
aaravskimi | AARAVSKI - [pravopis]
aargavskem | AARGAVSKI - [pravopis]
aargavskih | AARGAVSKI - [pravopis]
aargavskim | AARGAVSKI - [pravopis]
abadanskem | ABADANSKI - [pravopis]
abadanskih | ABADANSKI - [pravopis]
abadanskim | ABADANSKI - [pravopis]
abalakovov | [plan.] v zvezi »abalakovovo sidrišče«: sidrišče za spuščanje po vrvi v strmem ledu ali zaledenelem slapu, izdelano z izvrtanjem dveh na koncu stikajočih se lukenj, skozi kateri se s pomočjo žice potegne trak ali pomožna vrvica, imenovano po ruskem alpinistu Vitaliju Abalakovu
abalonskem | ABALONSKI - [gem.] v zvezi »abalonska školjka«: polž iz rodu Haliotis v vodah Amerike, Avstralije, Japonske in Koreje, v katerem nastajajo barvni baročni biseri
abalonskih | ABALONSKI - [gem.] v zvezi »abalonska školjka«: polž iz rodu Haliotis v vodah Amerike, Avstralije, Japonske in Koreje, v katerem nastajajo barvni baročni biseri
abalonskim | ABALONSKI - [gem.] v zvezi »abalonska školjka«: polž iz rodu Haliotis v vodah Amerike, Avstralije, Japonske in Koreje, v katerem nastajajo barvni baročni biseri
abažurjema | ABAŽUR - [pravopis]
abderitkah | ABDERITKA - [pravopis]
abderitkam | ABDERITKA - [pravopis]
abderitoma | ABDERIT - omejen, ozkosrčen človek
abderitska | ABDERITSKI - pridevnik od abderit
abderitske | ABDERITSKI - pridevnik od abderit
abderitski | pridevnik od abderit
abderitsko | ABDERITSKI - pridevnik od abderit
abderskega | ABDERSKI - [pravopis]
abderskemu | ABDERSKI - [pravopis]
abderskima | ABDERSKI - [pravopis]
abderskimi | ABDERSKI - [pravopis]
abdicirajo | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdicirala | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdicirale | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdicirali | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdiciralo | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdiciramo | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdicirata | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdicirate | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdicirati | odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdicirava | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdikacija | odpoved kakemu položaju, zlasti vladarski oblasti, odstop
abdikacije | ABDIKACIJA - odpoved kakemu položaju, zlasti vladarski oblasti, odstop
abdikaciji | ABDIKACIJA - odpoved kakemu položaju, zlasti vladarski oblasti, odstop
abdikacijo | ABDIKACIJA - odpoved kakemu položaju, zlasti vladarski oblasti, odstop
abdomenoma | ABDOMEN
abdukcijah | ABDUKCIJA - odmik, odmaknitev (uda) od navadne lege
abdukcijam | ABDUKCIJA - odmik, odmaknitev (uda) od navadne lege
abduktorna | ABDUKTORNI - [sinonimni]
abduktorne | ABDUKTORNI - [sinonimni]
abduktorni | [sinonimni]
abduktorno | ABDUKTORNI - [sinonimni]
abecedaric | ABECEDARICA - učenka, ki se uči abecede
abecedarja | ABECEDAR - abecednik, zlasti starejši
abecedarje | ABECEDAR - abecednik, zlasti starejši
abecedarji | ABECEDAR - abecednik, zlasti starejši
abecedarju | ABECEDAR - abecednik, zlasti starejši
abecediraj | ABECEDIRATI - urejati po abecedi
