aachenskega | AACHENSKI - [pravopis]
aachenskemu | AACHENSKI - [pravopis]
aachenskima | AACHENSKI - [pravopis]
aachenskimi | AACHENSKI - [pravopis]
aargavskega | AARGAVSKI - [pravopis]
aargavskemu | AARGAVSKI - [pravopis]
aargavskima | AARGAVSKI - [pravopis]
aargavskimi | AARGAVSKI - [pravopis]
abadanskega | ABADANSKI - [pravopis]
abadanskemu | ABADANSKI - [pravopis]
abadanskima | ABADANSKI - [pravopis]
abadanskimi | ABADANSKI - [pravopis]
abalakovova | ABALAKOVOV - [plan.] v zvezi »abalakovovo sidrišče«: sidrišče za spuščanje po vrvi v strmem ledu ali zaledenelem slapu, izdelano z izvrtanjem dveh na koncu stikajočih se lukenj, skozi kateri se s pomočjo žice potegne trak ali pomožna vrvica, imenovano po ruskem alpinistu Vitaliju Abalakovu
abalakovove | ABALAKOVOV - [plan.] v zvezi »abalakovovo sidrišče«: sidrišče za spuščanje po vrvi v strmem ledu ali zaledenelem slapu, izdelano z izvrtanjem dveh na koncu stikajočih se lukenj, skozi kateri se s pomočjo žice potegne trak ali pomožna vrvica, imenovano po ruskem alpinistu Vitaliju Abalakovu
abalakovovi | ABALAKOVOV - [plan.] v zvezi »abalakovovo sidrišče«: sidrišče za spuščanje po vrvi v strmem ledu ali zaledenelem slapu, izdelano z izvrtanjem dveh na koncu stikajočih se lukenj, skozi kateri se s pomočjo žice potegne trak ali pomožna vrvica, imenovano po ruskem alpinistu Vitaliju Abalakovu
abalakovovo | ABALAKOVOV - [plan.] v zvezi »abalakovovo sidrišče«: sidrišče za spuščanje po vrvi v strmem ledu ali zaledenelem slapu, izdelano z izvrtanjem dveh na koncu stikajočih se lukenj, skozi kateri se s pomočjo žice potegne trak ali pomožna vrvica, imenovano po ruskem alpinistu Vitaliju Abalakovu
abalienacij | ABALIENACIJA
abalonskega | ABALONSKI - [gem.] v zvezi »abalonska školjka«: polž iz rodu Haliotis v vodah Amerike, Avstralije, Japonske in Koreje, v katerem nastajajo barvni baročni biseri
abalonskemu | ABALONSKI - [gem.] v zvezi »abalonska školjka«: polž iz rodu Haliotis v vodah Amerike, Avstralije, Japonske in Koreje, v katerem nastajajo barvni baročni biseri
abalonskima | ABALONSKI - [gem.] v zvezi »abalonska školjka«: polž iz rodu Haliotis v vodah Amerike, Avstralije, Japonske in Koreje, v katerem nastajajo barvni baročni biseri
abalonskimi | ABALONSKI - [gem.] v zvezi »abalonska školjka«: polž iz rodu Haliotis v vodah Amerike, Avstralije, Japonske in Koreje, v katerem nastajajo barvni baročni biseri
abderitkama | ABDERITKA - [pravopis]
abderitkami | ABDERITKA - [pravopis]
abderitskem | ABDERITSKI - pridevnik od abderit
abderitskih | ABDERITSKI - pridevnik od abderit
abderitskim | ABDERITSKI - pridevnik od abderit
abderitstev | ABDERITSTVO
abderitstva | ABDERITSTVO
abderitstvi | ABDERITSTVO
abderitstvo |
abderitstvu | ABDERITSTVO
abdicirajmo | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
abdicirajta | ABDICIRATI - odpovedati se kakemu položaju, zlasti vladarski oblasti, odstopiti
