abalienacijah | ABALIENACIJA
abalienacijam | ABALIENACIJA
abderitstvoma | ABDERITSTVO
abdikacijskem | ABDIKACIJSKI - pridevnik od abdikacija
abdikacijskih | ABDIKACIJSKI - pridevnik od abdikacija
abdikacijskim | ABDIKACIJSKI - pridevnik od abdikacija
abdominalnega | ABDOMINALEN - nanašajoč se na abdomen
abdominalnemu | ABDOMINALEN - nanašajoč se na abdomen
abdominalnima | ABDOMINALEN - nanašajoč se na abdomen
abdominalnimi | ABDOMINALEN - nanašajoč se na abdomen
abecedarčkoma | ABECEDARČEK - manjšalnica od abecédar
abecedaricama | ABECEDARICA - učenka, ki se uči abecede
abecedaricami | ABECEDARICA - učenka, ki se uči abecede
abecedarskega | ABECEDARSKI - nanašajoč se na abecedarje ali abecedo
abecedarskemu | ABECEDARSKI - nanašajoč se na abecedarje ali abecedo
abecedarskima | ABECEDARSKI - nanašajoč se na abecedarje ali abecedo
abecedarskimi | ABECEDARSKI - nanašajoč se na abecedarje ali abecedo
abecedarstvih | ABECEDARSTVO - začetniška nedognanost, začetništvo
abecedarstvom | ABECEDARSTVO - začetniška nedognanost, začetništvo
abecedniškega | ABECEDNIŠKI - pridevnik od abecednik
abecedniškemu | ABECEDNIŠKI - pridevnik od abecednik
abecedniškima | ABECEDNIŠKI - pridevnik od abecednik
abecedniškimi | ABECEDNIŠKI - pridevnik od abecednik
aberacijskega | ABERACIJSKI - nanašajoč se na aberacijo
aberacijskemu | ABERACIJSKI - nanašajoč se na aberacijo
aberacijskima | ABERACIJSKI - nanašajoč se na aberacijo
aberacijskimi | ABERACIJSKI - nanašajoč se na aberacijo
abisopelagial | [geol.] najnižja plast morske vode v pelagialu od okoli 4000 m dalje v globino
abiturientkah | ABITURIENTKA - absolventka srednje šole pred zaključnim izpitom ali po njem
abiturientkam | ABITURIENTKA - absolventka srednje šole pred zaključnim izpitom ali po njem
abiturientoma | ABITURIENT - absolvent srednje šole pred zaključnim izpitom ali po njem
abiturientska | ABITURIENTSKI - pridevnik od abiturient
abiturientske | ABITURIENTSKI - pridevnik od abiturient
abiturientski | pridevnik od abiturient
abiturientsko | ABITURIENTSKI - pridevnik od abiturient
ablaktacijama | ABLAKTACIJA - vstavljanje cepiča žlahtne rastline v divjak tako, da še nekaj časa dobiva hrano od matične rastline
ablaktacijami | ABLAKTACIJA - vstavljanje cepiča žlahtne rastline v divjak tako, da še nekaj časa dobiva hrano od matične rastline
abnormalnosti | ABNORMALNOST - nenavadno, nepravilno stanje
abnormitetama | ABNORMITETA
abnormitetami | ABNORMITETA
abnormnostima | ABNORMNOST
abolicijskega | ABOLICIJSKI - pridevnik od abolicija
abolicijskemu | ABOLICIJSKI - pridevnik od abolicija
abolicijskima | ABOLICIJSKI - pridevnik od abolicija
abolicijskimi | ABOLICIJSKI - pridevnik od abolicija
abolicionista | ABOLICIONIST - pristaš abolicionizma
abolicioniste | ABOLICIONIST - pristaš abolicionizma
abolicionisti | ABOLICIONIST - pristaš abolicionizma
abolicionistu | ABOLICIONIST - pristaš abolicionizma
abolicionizem | gibanje za uveljavitev abolicije
abolicionizma | ABOLICIONIZEM - gibanje za uveljavitev abolicije
abolicionizme | ABOLICIONIZEM - gibanje za uveljavitev abolicije
abolicionizmi | ABOLICIONIZEM - gibanje za uveljavitev abolicije
abolicionizmu | ABOLICIONIZEM - gibanje za uveljavitev abolicije
aboridžinskem | ABORIGINSKI - nanašajoč se na aborigine
aboridžinskih | ABORIGINSKI - nanašajoč se na aborigine
aboridžinskim | ABORIGINSKI - nanašajoč se na aborigine
aboriginskega | ABORIGINSKI - nanašajoč se na aborigine
aboriginskemu | ABORIGINSKI - nanašajoč se na aborigine
aboriginskima | ABORIGINSKI - nanašajoč se na aborigine
aboriginskimi | ABORIGINSKI - nanašajoč se na aborigine
abrahamovcema | ABRAHAMOVEC - moški, ki je dopolnil petdeset let
abrahamovkama | ABRAHAMOVKA - ženska, ki je dopolnila petdeset let
abrahamovkami | ABRAHAMOVKA - ženska, ki je dopolnila petdeset let
abrakadabrama | ABRAKADABRA - magična beseda, zapisana navadno na amuletu
abrakadabrami | ABRAKADABRA - magična beseda, zapisana navadno na amuletu
abreviaturama | ABREVIATURA
abreviaturami | ABREVIATURA
absolutistoma | ABSOLUTIST - oblastnik, ki ima vso oblast
absolutizacij | ABSOLUTIZACIJA - pripisovanje absolutne veljavnosti relativno veljavnim stvarem
absolutiziraj | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutiziral | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutiziram | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutiziran | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutiziraš | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutizirat | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutizmoma | ABSOLUTIZEM - politična ureditev, v kateri ima vso oblast en človek
absolutnostih | ABSOLUTNOST - lastnost absolutnega
absolutnostim | ABSOLUTNOST - lastnost absolutnega
absolutnostjo | ABSOLUTNOST - lastnost absolutnega
absolutnostma | ABSOLUTNOST - lastnost absolutnega
absolutnostmi | ABSOLUTNOST - lastnost absolutnega
absolutorijem | ABSOLUTORIJ - razrešitev (od) dolžnosti in odgovornosti, razrešnica
absolutorijev | ABSOLUTORIJ - razrešitev (od) dolžnosti in odgovornosti, razrešnica
