abalienacijskem | ABALIENACIJSKI
abalienacijskih | ABALIENACIJSKI
abalienacijskim | ABALIENACIJSKI
abisopelagialih | ABISOPELAGIAL - [geol.] najnižja plast morske vode v pelagialu od okoli 4000 m dalje v globino
abisopelagialom | ABISOPELAGIAL - [geol.] najnižja plast morske vode v pelagialu od okoli 4000 m dalje v globino
abisopelagialov | ABISOPELAGIAL - [geol.] najnižja plast morske vode v pelagialu od okoli 4000 m dalje v globino
abiturientskega | ABITURIENTSKI - pridevnik od abiturient
abiturientskemu | ABITURIENTSKI - pridevnik od abiturient
abiturientskima | ABITURIENTSKI - pridevnik od abiturient
abiturientskimi | ABITURIENTSKI - pridevnik od abiturient
abnormalnostima | ABNORMALNOST - nenavadno, nepravilno stanje
abolicionistoma | ABOLICIONIST - pristaš abolicionizma
abolicionizmoma | ABOLICIONIZEM - gibanje za uveljavitev abolicije
absolutističnem | ABSOLUTISTIČEN - nanašajoč se na absolutizem
absolutističnih | ABSOLUTISTIČEN - nanašajoč se na absolutizem
absolutističnim | ABSOLUTISTIČEN - nanašajoč se na absolutizem
absolutizacijah | ABSOLUTIZACIJA - pripisovanje absolutne veljavnosti relativno veljavnim stvarem
absolutizacijam | ABSOLUTIZACIJA - pripisovanje absolutne veljavnosti relativno veljavnim stvarem
absolutizirajmo | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutizirajta | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutizirajte | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutizirajva | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutiziranem | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutiziranih | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutiziranim | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutiziranja | ABSOLUTIZIRANJE - glagolnik od absolutizirati
absolutiziranje | glagolnik od absolutizirati
absolutiziranji | ABSOLUTIZIRANJE - glagolnik od absolutizirati
absolutiziranju | ABSOLUTIZIRANJE - glagolnik od absolutizirati
absorptivnostih | ABSORPTIVNOST - sposobnost za absorbiranje
absorptivnostim | ABSORPTIVNOST - sposobnost za absorbiranje
absorptivnostjo | ABSORPTIVNOST - sposobnost za absorbiranje
absorptivnostma | ABSORPTIVNOST - sposobnost za absorbiranje
absorptivnostmi | ABSORPTIVNOST - sposobnost za absorbiranje
abstinentstvoma | ABSTINENTSTVO
abstrahiranjema | ABSTRAHIRANJE - glagolnik od abstrahirati
abstraktnejšega | ABSTRAKTEN - s čuti nezaznaven, pojmoven, miseln
abstraktnejšemu | ABSTRAKTEN - s čuti nezaznaven, pojmoven, miseln
abstraktnejšima | ABSTRAKTEN - s čuti nezaznaven, pojmoven, miseln
abstraktnejšimi | ABSTRAKTEN - s čuti nezaznaven, pojmoven, miseln
abstraktnostima | ABSTRAKTNOST - lastnost, značilnost abstraktnega
acetilsalicilen | zdravilo proti prehladu in bolečinam
acetilsalicilna | ACETILSALICILEN - zdravilo proti prehladu in bolečinam
acetilsalicilne | ACETILSALICILEN - zdravilo proti prehladu in bolečinam
acetilsalicilni | ACETILSALICILEN - zdravilo proti prehladu in bolečinam
acetilsalicilno | ACETILSALICILEN - zdravilo proti prehladu in bolečinam
acidifikacijama | ACIDIFIKACIJA - [geog.] povečanje števila vodikovih ionov v raztopini prsti
acidifikacijami | ACIDIFIKACIJA - [geog.] povečanje števila vodikovih ionov v raztopini prsti
adaptabilnostih | ADAPTABILNOST - sposobnost za adaptacijo
adaptabilnostim | ADAPTABILNOST - sposobnost za adaptacijo
adaptabilnostjo | ADAPTABILNOST - sposobnost za adaptacijo
adaptabilnostma | ADAPTABILNOST - sposobnost za adaptacijo
adaptabilnostmi | ADAPTABILNOST - sposobnost za adaptacijo
adjektivizacija | proces, v katerem beseda, ki ni pridevnik, pridobi pridevniške lastnosti
adjektivizacije | ADJEKTIVIZACIJA - proces, v katerem beseda, ki ni pridevnik, pridobi pridevniške lastnosti
adjektivizaciji | ADJEKTIVIZACIJA - proces, v katerem beseda, ki ni pridevnik, pridobi pridevniške lastnosti
adjektivizacijo | ADJEKTIVIZACIJA - proces, v katerem beseda, ki ni pridevnik, pridobi pridevniške lastnosti
adjektivizirajo | ADJEKTIVIZIRATI - dati besedi, ki ni pridevnik, pridevniške lastnosti
adjektivizirala | ADJEKTIVIZIRATI - dati besedi, ki ni pridevnik, pridevniške lastnosti
adjektivizirale | ADJEKTIVIZIRATI - dati besedi, ki ni pridevnik, pridevniške lastnosti
adjektivizirali | ADJEKTIVIZIRATI - dati besedi, ki ni pridevnik, pridevniške lastnosti
adjektiviziralo | ADJEKTIVIZIRATI - dati besedi, ki ni pridevnik, pridevniške lastnosti
adjektiviziramo | ADJEKTIVIZIRATI - dati besedi, ki ni pridevnik, pridevniške lastnosti
adjektivizirata | ADJEKTIVIZIRATI - dati besedi, ki ni pridevnik, pridevniške lastnosti
adjektivizirate | ADJEKTIVIZIRATI - dati besedi, ki ni pridevnik, pridevniške lastnosti
adjektivizirati | dati besedi, ki ni pridevnik, pridevniške lastnosti
adjektivizirava | ADJEKTIVIZIRATI - dati besedi, ki ni pridevnik, pridevniške lastnosti
administracijah | ADMINISTRACIJA - vodenje upravnih poslov
administracijam | ADMINISTRACIJA - vodenje upravnih poslov
administrativah | ADMINISTRATIVA - organ za vodenje upravnih poslov
administrativam | ADMINISTRATIVA - organ za vodenje upravnih poslov
administrativca | ADMINISTRATIVEC - upravni uslužbenec
administrativce | ADMINISTRATIVEC - upravni uslužbenec
administrativci | ADMINISTRATIVEC - upravni uslužbenec
administrativcu | ADMINISTRATIVEC - upravni uslužbenec
administrativec | upravni uslužbenec
administrativen | nanašajoč se na upravljanje, upraven
administrativna | ADMINISTRATIVEN - nanašajoč se na upravljanje, upraven
administrativne | ADMINISTRATIVEN - nanašajoč se na upravljanje, upraven
administrativni | ADMINISTRATIVEN - nanašajoč se na upravljanje, upraven
administrativno | ADMINISTRATIVEN - nanašajoč se na upravljanje, upraven
administratorja | ADMINISTRATOR - kdor upravlja
administratorje | ADMINISTRATOR - kdor upravlja
administratorji | ADMINISTRATOR - kdor upravlja
administratorju | ADMINISTRATOR - kdor upravlja
administratorka | nižja pisarniška uslužbenka
administratorke | ADMINISTRATORKA - nižja pisarniška uslužbenka
administratorki | ADMINISTRATORKA - nižja pisarniška uslužbenka
administratorko | ADMINISTRATORKA - nižja pisarniška uslužbenka
administraturah | ADMINISTRATURA - škofija ali škofiji podobna upravna enota, ki zaradi posebnih vzrokov nima rednega škofa
administraturam | ADMINISTRATURA - škofija ali škofiji podobna upravna enota, ki zaradi posebnih vzrokov nima rednega škofa
administrirajmo | ADMINISTRIRATI - upravljati računalniški sistem ali spletni forum
administrirajta | ADMINISTRIRATI - upravljati računalniški sistem ali spletni forum
administrirajte | ADMINISTRIRATI - upravljati računalniški sistem ali spletni forum
administrirajva | ADMINISTRIRATI - upravljati računalniški sistem ali spletni forum
administriranja | ADMINISTRIRANJE - glagolnik od administrirati
administriranje | glagolnik od administrirati
administriranji | ADMINISTRIRANJE - glagolnik od administrirati
administriranju | ADMINISTRIRANJE - glagolnik od administrirati
adrogametoforih | ADROGAMETOFOR - [bot.] del filamenta, ki nosi strukturo, v kateri nastajajo moške gamete
adrogametoforom | ADROGAMETOFOR - [bot.] del filamenta, ki nosi strukturo, v kateri nastajajo moške gamete
adrogametoforov | ADROGAMETOFOR - [bot.] del filamenta, ki nosi strukturo, v kateri nastajajo moške gamete
adsorptivnostih | ADSORPTIVNOST - sposobnost za adsorbiranje
adsorptivnostim | ADSORPTIVNOST - sposobnost za adsorbiranje
adsorptivnostjo | ADSORPTIVNOST - sposobnost za adsorbiranje
adsorptivnostma | ADSORPTIVNOST - sposobnost za adsorbiranje
adsorptivnostmi | ADSORPTIVNOST - sposobnost za adsorbiranje
adularescencama | ADULARESCENCA - [gem.] optični pojav, pri katerem nastane mlečno bel ali modrikast odsev svetlobe na brezbarvnem adularju zaradi loma, interference in difuzije svetlobe na drobnih kristalih adularja
adularescencami | ADULARESCENCA - [gem.] optični pojav, pri katerem nastane mlečno bel ali modrikast odsev svetlobe na brezbarvnem adularju zaradi loma, interference in difuzije svetlobe na drobnih kristalih adularja
adulariscencama | ADULARISCENCA - [geol.] iridescenca v adularju
adulariscencami | ADULARISCENCA - [geol.] iridescenca v adularju
adularizacijama | ADULARIZACIJA - [gem.] nadomeščanje minerala z adularjem
adularizacijami | ADULARIZACIJA - [gem.] nadomeščanje minerala z adularjem
adventističnega | ADVENTISTIČEN - nanašajoč se na adventiste
adventističnemu | ADVENTISTIČEN - nanašajoč se na adventiste
adventističnima | ADVENTISTIČEN - nanašajoč se na adventiste
adventističnimi | ADVENTISTIČEN - nanašajoč se na adventiste
aerodinamičnega | AERODINAMIČEN - nanašajoč se na aerodinamiko
aerodinamičnemu | AERODINAMIČEN - nanašajoč se na aerodinamiko
aerodinamičnima | AERODINAMIČEN - nanašajoč se na aerodinamiko
aerodinamičnimi | AERODINAMIČEN - nanašajoč se na aerodinamiko
aerofotografija | fotografiranje iz zraka
aerofotografije | AEROFOTOGRAFIJA - fotografiranje iz zraka
aerofotografiji | AEROFOTOGRAFIJA - fotografiranje iz zraka
aerofotografijo | AEROFOTOGRAFIJA - fotografiranje iz zraka
aerogeologijama | AEROGEOLOGIJA - [geol.] področje geologije, ki proučuje geološke pojave po fotografskih posnetkih iz zraka
