abalienacijskega | ABALIENACIJSKI
abalienacijskemu | ABALIENACIJSKI
abalienacijskima | ABALIENACIJSKI
abalienacijskimi | ABALIENACIJSKI
abecedniškostima | ABECEDNIŠKOST - [pravopis]
abisopelagialoma | ABISOPELAGIAL - [geol.] najnižja plast morske vode v pelagialu od okoli 4000 m dalje v globino
abolicionističen | nanašajoč se na abolicioniste ali abolicionizem
abolicionistična | ABOLICIONISTIČEN - nanašajoč se na abolicioniste ali abolicionizem
abolicionistične | ABOLICIONISTIČEN - nanašajoč se na abolicioniste ali abolicionizem
abolicionistični | ABOLICIONISTIČEN - nanašajoč se na abolicioniste ali abolicionizem
abolicionistično | ABOLICIONISTIČEN - nanašajoč se na abolicioniste ali abolicionizem
abolicionistkama | ABOLICIONISTKA - [pravopis]
abolicionistkami | ABOLICIONISTKA - [pravopis]
absolutističnega | ABSOLUTISTIČEN - nanašajoč se na absolutizem
absolutističnemu | ABSOLUTISTIČEN - nanašajoč se na absolutizem
absolutističnima | ABSOLUTISTIČEN - nanašajoč se na absolutizem
absolutističnimi | ABSOLUTISTIČEN - nanašajoč se na absolutizem
absolutističnost | [pravopis]
absolutizacijama | ABSOLUTIZACIJA - pripisovanje absolutne veljavnosti relativno veljavnim stvarem
absolutizacijami | ABSOLUTIZACIJA - pripisovanje absolutne veljavnosti relativno veljavnim stvarem
absolutiziranega | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutiziranemu | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutiziranima | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutiziranimi | ABSOLUTIZIRATI - absolutno veljavnost pripisovati relativno veljavnim stvarem
absolutiziranjem | ABSOLUTIZIRANJE - glagolnik od absolutizirati
absolutiziranjih | ABSOLUTIZIRANJE - glagolnik od absolutizirati
absorbiranostima | ABSORBIRANOST - [pravopis]
absorpcijskostih | ABSORPCIJSKOST - [pravopis]
absorpcijskostim | ABSORPCIJSKOST - [pravopis]
absorpcijskostjo | ABSORPCIJSKOST - [pravopis]
absorpcijskostma | ABSORPCIJSKOST - [pravopis]
absorpcijskostmi | ABSORPCIJSKOST - [pravopis]
absorptivnostima | ABSORPTIVNOST - sposobnost za absorbiranje
abstinenčnostima | ABSTINENČNOST - [pravopis]
abstinentskostih | ABSTINENTSKOST - [pravopis]
abstinentskostim | ABSTINENTSKOST - [pravopis]
abstinentskostjo | ABSTINENTSKOST - [pravopis]
abstinentskostma | ABSTINENTSKOST - [pravopis]
abstinentskostmi | ABSTINENTSKOST - [pravopis]
acetilglukozamin | [bot.] derivat glukozamina z acetilno skupino, vezano na dušik aminoskupine, ki je sestavina mnogih glikoproteinov, heteropolisaharidov, glikolipidov in osnovna enota v sintezi hitina
acetilkoencimoma | ACETILKOENCIM - > POLIKETID - [farm.] spojina iz skupine strukturno zelo različnih sekundarnih metabolitov, ki nastajajo iz acetilkoencima A, npr. terpeni, aromatske spojine, maščobne kisline
acetilsalicilnem | ACETILSALICILEN - zdravilo proti prehladu in bolečinam
acetilsalicilnih | ACETILSALICILEN - zdravilo proti prehladu in bolečinam
acetilsalicilnim | ACETILSALICILEN - zdravilo proti prehladu in bolečinam
acidorezistenten | [farm.] v zvezi »acidorezistentni polimeri«: polimeri, ki tvorijo filmsko oblogo farmacevtske oblike, v kislem okolju v želodcu niso topni, zato preprečujejo sproščanje učinkovine iz farmacevtske oblike in prehajanje kislega želodčnega soka v njeno notranjost do tankega črevesa, kjer se v nevtralnem mediju raztopijo
acidorezistentna | ACIDOREZISTENTEN - [farm.] v zvezi »acidorezistentni polimeri«: polimeri, ki tvorijo filmsko oblogo farmacevtske oblike, v kislem okolju v želodcu niso topni, zato preprečujejo sproščanje učinkovine iz farmacevtske oblike in prehajanje kislega želodčnega soka v njeno notranjost do tankega črevesa, kjer se v nevtralnem mediju raztopijo
acidorezistentne | ACIDOREZISTENTEN - [farm.] v zvezi »acidorezistentni polimeri«: polimeri, ki tvorijo filmsko oblogo farmacevtske oblike, v kislem okolju v želodcu niso topni, zato preprečujejo sproščanje učinkovine iz farmacevtske oblike in prehajanje kislega želodčnega soka v njeno notranjost do tankega črevesa, kjer se v nevtralnem mediju raztopijo
acidorezistentni | ACIDOREZISTENTEN - [farm.] v zvezi »acidorezistentni polimeri«: polimeri, ki tvorijo filmsko oblogo farmacevtske oblike, v kislem okolju v želodcu niso topni, zato preprečujejo sproščanje učinkovine iz farmacevtske oblike in prehajanje kislega želodčnega soka v njeno notranjost do tankega črevesa, kjer se v nevtralnem mediju raztopijo
acidorezistentno | ACIDOREZISTENTEN - [farm.] v zvezi »acidorezistentni polimeri«: polimeri, ki tvorijo filmsko oblogo farmacevtske oblike, v kislem okolju v želodcu niso topni, zato preprečujejo sproščanje učinkovine iz farmacevtske oblike in prehajanje kislega želodčnega soka v njeno notranjost do tankega črevesa, kjer se v nevtralnem mediju raztopijo
adaptabilnostima | ADAPTABILNOST - sposobnost za adaptacijo
adenozindifosfat | [farm.] ribonukleotid, ester adenozina in dveh zaporedno vezanih ostankov fosforjeve(V) kisline na mestu C-5 riboze
adjektivizacijah | ADJEKTIVIZACIJA - proces, v katerem beseda, ki ni pridevnik, pridobi pridevniške lastnosti
adjektivizacijam | ADJEKTIVIZACIJA - proces, v katerem beseda, ki ni pridevnik, pridobi pridevniške lastnosti
adjektivizirajmo | ADJEKTIVIZIRATI - dati besedi, ki ni pridevnik, pridevniške lastnosti
adjektivizirajta | ADJEKTIVIZIRATI - dati besedi, ki ni pridevnik, pridevniške lastnosti
adjektivizirajte | ADJEKTIVIZIRATI - dati besedi, ki ni pridevnik, pridevniške lastnosti
adjektivizirajva | ADJEKTIVIZIRATI - dati besedi, ki ni pridevnik, pridevniške lastnosti
administracijama | ADMINISTRACIJA - vodenje upravnih poslov
administracijami | ADMINISTRACIJA - vodenje upravnih poslov
administracijska | ADMINISTRACIJSKI - pridevnik od administracija
administracijske | ADMINISTRACIJSKI - pridevnik od administracija
administracijski | pridevnik od administracija
administracijsko | ADMINISTRACIJSKI - pridevnik od administracija
administrativama | ADMINISTRATIVA - organ za vodenje upravnih poslov
administrativami | ADMINISTRATIVA - organ za vodenje upravnih poslov
administrativcem | ADMINISTRATIVEC - upravni uslužbenec
administrativcev | ADMINISTRATIVEC - upravni uslužbenec
administrativcih | ADMINISTRATIVEC - upravni uslužbenec
administrativčev | [pravopis]
administrativkah | ADMINISTRATIVKA - [pravopis]
administrativkam | ADMINISTRATIVKA - [pravopis]
administrativnem | ADMINISTRATIVEN - nanašajoč se na upravljanje, upraven
