absolutističnostima | ABSOLUTISTIČNOST - [pravopis]
acetilglukozaminoma | ACETILGLUKOZAMIN - [bot.] derivat glukozamina z acetilno skupino, vezano na dušik aminoskupine, ki je sestavina mnogih glikoproteinov, heteropolisaharidov, glikolipidov in osnovna enota v sintezi hitina
acilfloroglucinolih | ACILFLOROGLUCINOL - [farm.]
acilfloroglucinolom | ACILFLOROGLUCINOL - [farm.]
acilfloroglucinolov | ACILFLOROGLUCINOL - [farm.]
adenozindifosfatoma | ADENOZINDIFOSFAT - [farm.] ribonukleotid, ester adenozina in dveh zaporedno vezanih ostankov fosforjeve(V) kisline na mestu C-5 riboze
adenozinmonofosfata | ADENOZINMONOFOSFAT - [farm.] ribonukleotid, ester adenozina in fosforjeve(V) kisline na mestu C-5 riboze, sestavina RNA in nekaterih koencimov
adenozinmonofosfate | ADENOZINMONOFOSFAT - [farm.] ribonukleotid, ester adenozina in fosforjeve(V) kisline na mestu C-5 riboze, sestavina RNA in nekaterih koencimov
adenozinmonofosfati | ADENOZINMONOFOSFAT - [farm.] ribonukleotid, ester adenozina in fosforjeve(V) kisline na mestu C-5 riboze, sestavina RNA in nekaterih koencimov
adenozinmonofosfatu | ADENOZINMONOFOSFAT - [farm.] ribonukleotid, ester adenozina in fosforjeve(V) kisline na mestu C-5 riboze, sestavina RNA in nekaterih koencimov
adenozintrifosfatih | ADENOZINTRIFOSFAT - [farm.] ribonukleotid, ester adenozina in treh zaporedno vezanih ostankov fosforjeve(V) kisline na mestu C-5 riboze, najpomembnejša visokoenergijska molekula v celicah in aktivirani predhodnik za sintezo RNA
adenozintrifosfatom | ADENOZINTRIFOSFAT - [farm.] ribonukleotid, ester adenozina in treh zaporedno vezanih ostankov fosforjeve(V) kisline na mestu C-5 riboze, najpomembnejša visokoenergijska molekula v celicah in aktivirani predhodnik za sintezo RNA
adenozintrifosfatov | ADENOZINTRIFOSFAT - [farm.] ribonukleotid, ester adenozina in treh zaporedno vezanih ostankov fosforjeve(V) kisline na mestu C-5 riboze, najpomembnejša visokoenergijska molekula v celicah in aktivirani predhodnik za sintezo RNA
administrativčevega | ADMINISTRATIVČEV - [pravopis]
administrativčevemu | ADMINISTRATIVČEV - [pravopis]
administrativčevima | ADMINISTRATIVČEV - [pravopis]
administrativčevimi | ADMINISTRATIVČEV - [pravopis]
administrativnostih | ADMINISTRATIVNOST - [pravopis]
administrativnostim | ADMINISTRATIVNOST - [pravopis]
administrativnostjo | ADMINISTRATIVNOST - [pravopis]
administrativnostma | ADMINISTRATIVNOST - [pravopis]
administrativnostmi | ADMINISTRATIVNOST - [pravopis]
administratorstvoma | ADMINISTRATORSTVO
aerofotogeologijama | AEROFOTOGEOLOGIJA - [geol.] področje geologije, ki proučuje geološke pojave po fotografskih posnetkih iz zraka
aerofotogeologijami | AEROFOTOGEOLOGIJA - [geol.] področje geologije, ki proučuje geološke pojave po fotografskih posnetkih iz zraka
aerofotografiranjem | AEROFOTOGRAFIRANJE - [agr.] tehnika daljinskega zaznavanja Zemljinega površja, ki se izvaja iz zraka in s katero se zajemajo topografski podatki in podatki stanja v prostoru, da se pripravita model reliefa ter ortofoto
aerofotografiranjih | AEROFOTOGRAFIRANJE - [agr.] tehnika daljinskega zaznavanja Zemljinega površja, ki se izvaja iz zraka in s katero se zajemajo topografski podatki in podatki stanja v prostoru, da se pripravita model reliefa ter ortofoto
aerofotogrametrijah | AEROFOTOGRAMETRIJA - fotografiranje zemeljskega površja iz zraka in izdelovanje kart na osnovi tako dobljenih posnetkov
aerofotogrametrijam | AEROFOTOGRAMETRIJA - fotografiranje zemeljskega površja iz zraka in izdelovanje kart na osnovi tako dobljenih posnetkov
aerotriangulacijama | AEROTRIANGULACIJA - [geog.] fotografiranje Zemljinega površja iz zraka in izdelovanje zemljevidov na podlagi tako dobljenih posnetkov
aerotriangulacijami | AEROTRIANGULACIJA - [geog.] fotografiranje Zemljinega površja iz zraka in izdelovanje zemljevidov na podlagi tako dobljenih posnetkov
agrarnogospodarskem | AGRARNOGOSPODARSKI - [epravopis] nanašajoč se na agrarno gospodarstvo
agrarnogospodarskih | AGRARNOGOSPODARSKI - [epravopis] nanašajoč se na agrarno gospodarstvo
agrarnogospodarskim | AGRARNOGOSPODARSKI - [epravopis] nanašajoč se na agrarno gospodarstvo
agroklimatologijama | AGROKLIMATOLOGIJA - [agr.] klimatologija, ki proučuje vpliv podnebja in vremenskih procesov v ozračju na rastline in živali
agroklimatologijami | AGROKLIMATOLOGIJA - [agr.] klimatologija, ki proučuje vpliv podnebja in vremenskih procesov v ozračju na rastline in živali
agromelioracijskega | AGROMELIORACIJSKI - nanašajoč se na agromelioracijo
agromelioracijskemu | AGROMELIORACIJSKI - nanašajoč se na agromelioracijo
agromelioracijskima | AGROMELIORACIJSKI - nanašajoč se na agromelioracijo
agromelioracijskimi | AGROMELIORACIJSKI - nanašajoč se na agromelioracijo
agrometeorologijama | AGROMETEOROLOGIJA - meteorologija, ki proučuje vpliv vremena, podnebja na kmetijstvo in gozdarstvo
agrometeorologijami | AGROMETEOROLOGIJA - meteorologija, ki proučuje vpliv vremena, podnebja na kmetijstvo in gozdarstvo
aklimatiziranostima | AKLIMATIZIRANOST - [pravopis]
aksonometričnostima | AKSONOMETRIČNOST - [pravopis]
aktinobakterijskega | AKTINOBAKTERIJSKI - [bot.] v zvezi »aktinobakterijska simbioza«:
aktinobakterijskemu | AKTINOBAKTERIJSKI - [bot.] v zvezi »aktinobakterijska simbioza«:
aktinobakterijskima | AKTINOBAKTERIJSKI - [bot.] v zvezi »aktinobakterijska simbioza«:
aktinobakterijskimi | AKTINOBAKTERIJSKI - [bot.] v zvezi »aktinobakterijska simbioza«:
aktinopterigijskega | AKTINOPTERIGIJSKI - > HOLOSTEJI - [geol.] aktinopterigijske ribe z dobro razvitim kostnim skeletom, ki so živele od krede dalje
aktinopterigijskemu | AKTINOPTERIGIJSKI - > HOLOSTEJI - [geol.] aktinopterigijske ribe z dobro razvitim kostnim skeletom, ki so živele od krede dalje
aktinopterigijskima | AKTINOPTERIGIJSKI - > HOLOSTEJI - [geol.] aktinopterigijske ribe z dobro razvitim kostnim skeletom, ki so živele od krede dalje
aktinopterigijskimi | AKTINOPTERIGIJSKI - > HOLOSTEJI - [geol.] aktinopterigijske ribe z dobro razvitim kostnim skeletom, ki so živele od krede dalje
aktualnopolitičnega | AKTUALNOPOLITIČEN - nanašajoč se na aktualno politiko
aktualnopolitičnemu | AKTUALNOPOLITIČEN - nanašajoč se na aktualno politiko
aktualnopolitičnima | AKTUALNOPOLITIČEN - nanašajoč se na aktualno politiko
aktualnopolitičnimi | AKTUALNOPOLITIČEN - nanašajoč se na aktualno politiko
aktuopaleontologija | [geol.] veda, ki s proučevanjem sedanjih živalskih in rastlinskih vrst pojasnjuje življenje in razvoj podobnih, že izumrlih živalskih in rastlinskih vrst
aktuopaleontologije | AKTUOPALEONTOLOGIJA - [geol.] veda, ki s proučevanjem sedanjih živalskih in rastlinskih vrst pojasnjuje življenje in razvoj podobnih, že izumrlih živalskih in rastlinskih vrst
aktuopaleontologiji | AKTUOPALEONTOLOGIJA - [geol.] veda, ki s proučevanjem sedanjih živalskih in rastlinskih vrst pojasnjuje življenje in razvoj podobnih, že izumrlih živalskih in rastlinskih vrst
aktuopaleontologijo | AKTUOPALEONTOLOGIJA - [geol.] veda, ki s proučevanjem sedanjih živalskih in rastlinskih vrst pojasnjuje življenje in razvoj podobnih, že izumrlih živalskih in rastlinskih vrst
akupunkturologinjah | AKUPUNKTUROLOGINJA - [pravopis]
akupunkturologinjam | AKUPUNKTUROLOGINJA - [pravopis]
alfrescoslikarstvih | ALFRESCOSLIKARSTVO - [pravopis]
alfrescoslikarstvom | ALFRESCOSLIKARSTVO - [pravopis]
alkoholiziranostima | ALKOHOLIZIRANOST - stanje alkoholiziranega človeka
aluminotermičnostih | ALUMINOTERMIČNOST - [pravopis]
aluminotermičnostim | ALUMINOTERMIČNOST - [pravopis]
aluminotermičnostjo | ALUMINOTERMIČNOST - [pravopis]
aluminotermičnostma | ALUMINOTERMIČNOST - [pravopis]
aluminotermičnostmi | ALUMINOTERMIČNOST - [pravopis]
ameriškosamoanskega | AMERIŠKOSAMOANSKI - [epravopis] 
ameriškosamoanskemu | AMERIŠKOSAMOANSKI - [epravopis] 
ameriškosamoanskima | AMERIŠKOSAMOANSKI - [epravopis] 
ameriškosamoanskimi | AMERIŠKOSAMOANSKI - [epravopis] 
anahronističnostima | ANAHRONISTIČNOST - [pravopis]
anarhosindikalizmih | ANARHOSINDIKALIZEM - anarhistična smer v delavskem gibanju, ki priznava sindikate kot edino organizacijo delavskega razreda
anarhosindikalizmom | ANARHOSINDIKALIZEM - anarhistična smer v delavskem gibanju, ki priznava sindikate kot edino organizacijo delavskega razreda
anarhosindikalizmov | ANARHOSINDIKALIZEM - anarhistična smer v delavskem gibanju, ki priznava sindikate kot edino organizacijo delavskega razreda
ancistropegmatskega | ANCISTROPEGMATSKI - [geol.] v zvezi »ancistropegmatski tip«: tip ramenskega skeleta pri ramenonožcih, kjer se krura ne podaljšuje v podporo lofoforju
ancistropegmatskemu | ANCISTROPEGMATSKI - [geol.] v zvezi »ancistropegmatski tip«: tip ramenskega skeleta pri ramenonožcih, kjer se krura ne podaljšuje v podporo lofoforju
ancistropegmatskima | ANCISTROPEGMATSKI - [geol.] v zvezi »ancistropegmatski tip«: tip ramenskega skeleta pri ramenonožcih, kjer se krura ne podaljšuje v podporo lofoforju
ancistropegmatskimi | ANCISTROPEGMATSKI - [geol.] v zvezi »ancistropegmatski tip«: tip ramenskega skeleta pri ramenonožcih, kjer se krura ne podaljšuje v podporo lofoforju
andromonoecičnostih | ANDROMONOECIČNOST - [bot.]
andromonoecičnostim | ANDROMONOECIČNOST - [bot.]
andromonoecičnostjo | ANDROMONOECIČNOST - [bot.]
andromonoecičnostma | ANDROMONOECIČNOST - [bot.]
andromonoecičnostmi | ANDROMONOECIČNOST - [bot.]
aneksionističnostih | ANEKSIONISTIČNOST - [pravopis]
aneksionističnostim | ANEKSIONISTIČNOST - [pravopis]
aneksionističnostjo | ANEKSIONISTIČNOST - [pravopis]
aneksionističnostma | ANEKSIONISTIČNOST - [pravopis]
aneksionističnostmi | ANEKSIONISTIČNOST - [pravopis]
angloamerikanščinah | ANGLOAMERIKANŠČINA - ameriška angleščina
angloamerikanščinam | ANGLOAMERIKANŠČINA - ameriška angleščina
antiabsolutističnem | ANTIABSOLUTISTIČEN - ki je proti absolutizmu
antiabsolutističnih | ANTIABSOLUTISTIČEN - ki je proti absolutizmu
antiabsolutističnim | ANTIABSOLUTISTIČEN - ki je proti absolutizmu
antiavtoritarnostih | ANTIAVTORITARNOST - [pravopis]
antiavtoritarnostim | ANTIAVTORITARNOST - [pravopis]
antiavtoritarnostjo | ANTIAVTORITARNOST - [pravopis]
antiavtoritarnostma | ANTIAVTORITARNOST - [pravopis]
antiavtoritarnostmi | ANTIAVTORITARNOST - [pravopis]
antidemokratičnosti | ANTIDEMOKRATIČNOST - [pravopis]
antidialektičnostih | ANTIDIALEKTIČNOST - [pravopis]
antidialektičnostim | ANTIDIALEKTIČNOST - [pravopis]
antidialektičnostjo | ANTIDIALEKTIČNOST - [pravopis]
antidialektičnostma | ANTIDIALEKTIČNOST - [pravopis]
antidialektičnostmi | ANTIDIALEKTIČNOST - [pravopis]
antifašističnostima | ANTIFAŠISTIČNOST - [pravopis]
antifibrinolitikoma | ANTIFIBRINOLITIK - [farm.] antihemoragik, ki preprečuje razgradnjo fibrinskih vlaken v krvnem strdku
antiglobalističnega | ANTIGLOBALISTIČEN - ki je proti globalizmu
antiglobalističnemu | ANTIGLOBALISTIČEN - ki je proti globalizmu
antiglobalističnima | ANTIGLOBALISTIČEN - ki je proti globalizmu
antiglobalističnimi | ANTIGLOBALISTIČEN - ki je proti globalizmu
antiglobalizacijama | ANTIGLOBALIZACIJA - miselnost, ki je proti globalizaciji
antiglobalizacijami | ANTIGLOBALIZACIJA - miselnost, ki je proti globalizaciji
antiglobalizacijska | ANTIGLOBALIZACIJSKI - ki je proti globalizaciji
antiglobalizacijske | ANTIGLOBALIZACIJSKI - ki je proti globalizaciji
antiglobalizacijski | ki je proti globalizaciji
antiglobalizacijsko | ANTIGLOBALIZACIJSKI - ki je proti globalizaciji
antiglukokortikoida | ANTIGLUKOKORTIKOID - [farm.] učinkovina, ki z zaviranjem biosinteze glukokortikoidov ali z antagonističnim delovanjem na njihovih receptorjih zmanjšuje učinek glukokortikoidov v organizmu
antiglukokortikoide | ANTIGLUKOKORTIKOID - [farm.] učinkovina, ki z zaviranjem biosinteze glukokortikoidov ali z antagonističnim delovanjem na njihovih receptorjih zmanjšuje učinek glukokortikoidov v organizmu
antiglukokortikoidi | ANTIGLUKOKORTIKOID - [farm.] učinkovina, ki z zaviranjem biosinteze glukokortikoidov ali z antagonističnim delovanjem na njihovih receptorjih zmanjšuje učinek glukokortikoidov v organizmu
antiglukokortikoidu | ANTIGLUKOKORTIKOID - [farm.] učinkovina, ki z zaviranjem biosinteze glukokortikoidov ali z antagonističnim delovanjem na njihovih receptorjih zmanjšuje učinek glukokortikoidov v organizmu
antigonadotropinoma | ANTIGONADOTROPIN - [farm.] zdravilo ali učinkovina, ki zavira sproščanje luteinizirajočega hormona in/ali folikel stimulirajočega hormona, zaradi česar se znižajo koncentracije androgenov, estrogenov in gestagenov, uporablja se za zdravljenje na hormone odzivnih rakov, menoragije, endometrioze, npr. danazol
antihiperlipemikoma | ANTIHIPERLIPEMIK - [farm.] zdravilo ali učinkovina, ki se uporablja za zniževanje povišane koncentracije lipidov v krvi
antiholinesterazama | ANTIHOLINESTERAZA - [farm.] parasimpatomimetik, ki reverzibilno ali ireverzibilno zavira holin esteraze in zvišuje koncentracijo acetilholina v sinapsah, npr. neostigmin, piridostigmin
antiholinesterazami | ANTIHOLINESTERAZA - [farm.] parasimpatomimetik, ki reverzibilno ali ireverzibilno zavira holin esteraze in zvišuje koncentracijo acetilholina v sinapsah, npr. neostigmin, piridostigmin
antiiluzionističnem | ANTIILUZIONISTIČEN - [gled.] v zvezi »antiiluzionistično gledališče«: gledališče, ki zavrača posnemanje resničnosti, iluzijo in poistovetenje gledalca z odrskim dogajanjem / gledališki pojavi po letu 1900
antiiluzionističnih | ANTIILUZIONISTIČEN - [gled.] v zvezi »antiiluzionistično gledališče«: gledališče, ki zavrača posnemanje resničnosti, iluzijo in poistovetenje gledalca z odrskim dogajanjem / gledališki pojavi po letu 1900
antiiluzionističnim | ANTIILUZIONISTIČEN - [gled.] v zvezi »antiiluzionistično gledališče«: gledališče, ki zavrača posnemanje resničnosti, iluzijo in poistovetenje gledalca z odrskim dogajanjem / gledališki pojavi po letu 1900
antiimperialističen | ki je proti imperializmu
antiimperialistična | ANTIIMPERIALISTIČEN - ki je proti imperializmu
antiimperialistične | ANTIIMPERIALISTIČEN - ki je proti imperializmu
antiimperialistični | ANTIIMPERIALISTIČEN - ki je proti imperializmu
