acilfloroglucinoloma | ACILFLOROGLUCINOL - [farm.]
adenozinmonofosfatih | ADENOZINMONOFOSFAT - [farm.] ribonukleotid, ester adenozina in fosforjeve(V) kisline na mestu C-5 riboze, sestavina RNA in nekaterih koencimov
adenozinmonofosfatom | ADENOZINMONOFOSFAT - [farm.] ribonukleotid, ester adenozina in fosforjeve(V) kisline na mestu C-5 riboze, sestavina RNA in nekaterih koencimov
adenozinmonofosfatov | ADENOZINMONOFOSFAT - [farm.] ribonukleotid, ester adenozina in fosforjeve(V) kisline na mestu C-5 riboze, sestavina RNA in nekaterih koencimov
adenozintrifosfatoma | ADENOZINTRIFOSFAT - [farm.] ribonukleotid, ester adenozina in treh zaporedno vezanih ostankov fosforjeve(V) kisline na mestu C-5 riboze, najpomembnejša visokoenergijska molekula v celicah in aktivirani predhodnik za sintezo RNA
administrativnostima | ADMINISTRATIVNOST - [pravopis]
aerofotografiranjema | AEROFOTOGRAFIRANJE - [agr.] tehnika daljinskega zaznavanja Zemljinega površja, ki se izvaja iz zraka in s katero se zajemajo topografski podatki in podatki stanja v prostoru, da se pripravita model reliefa ter ortofoto
aerofotogrametrijama | AEROFOTOGRAMETRIJA - fotografiranje zemeljskega površja iz zraka in izdelovanje kart na osnovi tako dobljenih posnetkov
aerofotogrametrijami | AEROFOTOGRAMETRIJA - fotografiranje zemeljskega površja iz zraka in izdelovanje kart na osnovi tako dobljenih posnetkov
agrarnogospodarskega | AGRARNOGOSPODARSKI - [epravopis] nanašajoč se na agrarno gospodarstvo
agrarnogospodarskemu | AGRARNOGOSPODARSKI - [epravopis] nanašajoč se na agrarno gospodarstvo
agrarnogospodarskima | AGRARNOGOSPODARSKI - [epravopis] nanašajoč se na agrarno gospodarstvo
agrarnogospodarskimi | AGRARNOGOSPODARSKI - [epravopis] nanašajoč se na agrarno gospodarstvo
akcijskousmerjevalen | [pravopis]
akcijskousmerjevalna | AKCIJSKOUSMERJEVALEN - [pravopis]
akcijskousmerjevalne | AKCIJSKOUSMERJEVALEN - [pravopis]
akcijskousmerjevalni | AKCIJSKOUSMERJEVALEN - [pravopis]
akcijskousmerjevalno | AKCIJSKOUSMERJEVALEN - [pravopis]
aktuopaleontologijah | AKTUOPALEONTOLOGIJA - [geol.] veda, ki s proučevanjem sedanjih živalskih in rastlinskih vrst pojasnjuje življenje in razvoj podobnih, že izumrlih živalskih in rastlinskih vrst
aktuopaleontologijam | AKTUOPALEONTOLOGIJA - [geol.] veda, ki s proučevanjem sedanjih živalskih in rastlinskih vrst pojasnjuje življenje in razvoj podobnih, že izumrlih živalskih in rastlinskih vrst
akupunkturologinjama | AKUPUNKTUROLOGINJA - [pravopis]
akupunkturologinjami | AKUPUNKTUROLOGINJA - [pravopis]
alfrescoslikarstvoma | ALFRESCOSLIKARSTVO - [pravopis]
aluminotermičnostima | ALUMINOTERMIČNOST - [pravopis]
anarhosindikalizmoma | ANARHOSINDIKALIZEM - anarhistična smer v delavskem gibanju, ki priznava sindikate kot edino organizacijo delavskega razreda
andromonoecičnostima | ANDROMONOECIČNOST - [bot.]
aneksionističnostima | ANEKSIONISTIČNOST - [pravopis]
