akcijskousmerjevalnega | AKCIJSKOUSMERJEVALEN - [pravopis]
akcijskousmerjevalnemu | AKCIJSKOUSMERJEVALEN - [pravopis]
akcijskousmerjevalnima | AKCIJSKOUSMERJEVALEN - [pravopis]
akcijskousmerjevalnimi | AKCIJSKOUSMERJEVALEN - [pravopis]
anarhosindikalističnem | ANARHOSINDIKALISTIČEN - nanašajoč se na anarhosindikalizem
anarhosindikalističnih | ANARHOSINDIKALISTIČEN - nanašajoč se na anarhosindikalizem
anarhosindikalističnim | ANARHOSINDIKALISTIČEN - nanašajoč se na anarhosindikalizem
antiimperialističnosti | ANTIIMPERIALISTIČNOST - [pravopis]
antimaterialističnosti | ANTIMATERIALISTIČNOST - [pravopis]
antimineralokortikoida | ANTIMINERALOKORTIKOID - [farm.] antikaliuretični diuretik, ki z vezavo na aldosteronski receptor prepreči reabsorpcijo natrijevih, kloridnih ionov in vode, npr. spironolakton
antimineralokortikoide | ANTIMINERALOKORTIKOID - [farm.] antikaliuretični diuretik, ki z vezavo na aldosteronski receptor prepreči reabsorpcijo natrijevih, kloridnih ionov in vode, npr. spironolakton
antimineralokortikoidi | ANTIMINERALOKORTIKOID - [farm.] antikaliuretični diuretik, ki z vezavo na aldosteronski receptor prepreči reabsorpcijo natrijevih, kloridnih ionov in vode, npr. spironolakton
antimineralokortikoidu | ANTIMINERALOKORTIKOID - [farm.] antikaliuretični diuretik, ki z vezavo na aldosteronski receptor prepreči reabsorpcijo natrijevih, kloridnih ionov in vode, npr. spironolakton
antirevolucionarnostih | ANTIREVOLUCIONARNOST - [pravopis]
antirevolucionarnostim | ANTIREVOLUCIONARNOST - [pravopis]
antirevolucionarnostjo | ANTIREVOLUCIONARNOST - [pravopis]
antirevolucionarnostma | ANTIREVOLUCIONARNOST - [pravopis]
antirevolucionarnostmi | ANTIREVOLUCIONARNOST - [pravopis]
argentinskoslovenskega | ARGENTINSKOSLOVENSKI - [epravopis] nanašajoč se na argentinske Slovence
argentinskoslovenskemu | ARGENTINSKOSLOVENSKI - [epravopis] nanašajoč se na argentinske Slovence
argentinskoslovenskima | ARGENTINSKOSLOVENSKI - [epravopis] nanašajoč se na argentinske Slovence
argentinskoslovenskimi | ARGENTINSKOSLOVENSKI - [epravopis] nanašajoč se na argentinske Slovence
arilsulfonilsečninskem | ARILSULFONILSEČNINSKI - > SULFONILSEČNINA - [farm.] peroralni antidiabetik z arilsulfonilsečninskim fragmentom, ki pospeši sproščanje inzulina, povečuje število inzulinskih receptorjev in njihovo afiniteto za inzulin, znižuje koncentracijo glukagona v serumu in zavira glukoneogenezo v jetrih, npr. glibenklamid, klorpropamid
arilsulfonilsečninskih | ARILSULFONILSEČNINSKI - > SULFONILSEČNINA - [farm.] peroralni antidiabetik z arilsulfonilsečninskim fragmentom, ki pospeši sproščanje inzulina, povečuje število inzulinskih receptorjev in njihovo afiniteto za inzulin, znižuje koncentracijo glukagona v serumu in zavira glukoneogenezo v jetrih, npr. glibenklamid, klorpropamid
arilsulfonilsečninskim | ARILSULFONILSEČNINSKI - > SULFONILSEČNINA - [farm.] peroralni antidiabetik z arilsulfonilsečninskim fragmentom, ki pospeši sproščanje inzulina, povečuje število inzulinskih receptorjev in njihovo afiniteto za inzulin, znižuje koncentracijo glukagona v serumu in zavira glukoneogenezo v jetrih, npr. glibenklamid, klorpropamid
