anarhoindividualističen | ki se nagiba k anarhiji in poudarja vlogo posameznika
anarhoindividualistična | ANARHOINDIVIDUALISTIČEN - ki se nagiba k anarhiji in poudarja vlogo posameznika
anarhoindividualistične | ANARHOINDIVIDUALISTIČEN - ki se nagiba k anarhiji in poudarja vlogo posameznika
anarhoindividualistični | ANARHOINDIVIDUALISTIČEN - ki se nagiba k anarhiji in poudarja vlogo posameznika
anarhoindividualistično | ANARHOINDIVIDUALISTIČEN - ki se nagiba k anarhiji in poudarja vlogo posameznika
anarhosindikalističnega | ANARHOSINDIKALISTIČEN - nanašajoč se na anarhosindikalizem
anarhosindikalističnemu | ANARHOSINDIKALISTIČEN - nanašajoč se na anarhosindikalizem
anarhosindikalističnima | ANARHOSINDIKALISTIČEN - nanašajoč se na anarhosindikalizem
anarhosindikalističnimi | ANARHOSINDIKALISTIČEN - nanašajoč se na anarhosindikalizem
antiimperialističnostih | ANTIIMPERIALISTIČNOST - [pravopis]
antiimperialističnostim | ANTIIMPERIALISTIČNOST - [pravopis]
antiimperialističnostjo | ANTIIMPERIALISTIČNOST - [pravopis]
antiimperialističnostma | ANTIIMPERIALISTIČNOST - [pravopis]
antiimperialističnostmi | ANTIIMPERIALISTIČNOST - [pravopis]
antimaterialističnostih | ANTIMATERIALISTIČNOST - [pravopis]
antimaterialističnostim | ANTIMATERIALISTIČNOST - [pravopis]
antimaterialističnostjo | ANTIMATERIALISTIČNOST - [pravopis]
antimaterialističnostma | ANTIMATERIALISTIČNOST - [pravopis]
antimaterialističnostmi | ANTIMATERIALISTIČNOST - [pravopis]
antimineralokortikoidih | ANTIMINERALOKORTIKOID - [farm.] antikaliuretični diuretik, ki z vezavo na aldosteronski receptor prepreči reabsorpcijo natrijevih, kloridnih ionov in vode, npr. spironolakton
antimineralokortikoidom | ANTIMINERALOKORTIKOID - [farm.] antikaliuretični diuretik, ki z vezavo na aldosteronski receptor prepreči reabsorpcijo natrijevih, kloridnih ionov in vode, npr. spironolakton
antimineralokortikoidov | ANTIMINERALOKORTIKOID - [farm.] antikaliuretični diuretik, ki z vezavo na aldosteronski receptor prepreči reabsorpcijo natrijevih, kloridnih ionov in vode, npr. spironolakton
antirevolucionarnostima | ANTIREVOLUCIONARNOST - [pravopis]
arilsulfonilsečninskega | ARILSULFONILSEČNINSKI - > SULFONILSEČNINA - [farm.] peroralni antidiabetik z arilsulfonilsečninskim fragmentom, ki pospeši sproščanje inzulina, povečuje število inzulinskih receptorjev in njihovo afiniteto za inzulin, znižuje koncentracijo glukagona v serumu in zavira glukoneogenezo v jetrih, npr. glibenklamid, klorpropamid
arilsulfonilsečninskemu | ARILSULFONILSEČNINSKI - > SULFONILSEČNINA - [farm.] peroralni antidiabetik z arilsulfonilsečninskim fragmentom, ki pospeši sproščanje inzulina, povečuje število inzulinskih receptorjev in njihovo afiniteto za inzulin, znižuje koncentracijo glukagona v serumu in zavira glukoneogenezo v jetrih, npr. glibenklamid, klorpropamid
arilsulfonilsečninskima | ARILSULFONILSEČNINSKI - > SULFONILSEČNINA - [farm.] peroralni antidiabetik z arilsulfonilsečninskim fragmentom, ki pospeši sproščanje inzulina, povečuje število inzulinskih receptorjev in njihovo afiniteto za inzulin, znižuje koncentracijo glukagona v serumu in zavira glukoneogenezo v jetrih, npr. glibenklamid, klorpropamid
arilsulfonilsečninskimi | ARILSULFONILSEČNINSKI - > SULFONILSEČNINA - [farm.] peroralni antidiabetik z arilsulfonilsečninskim fragmentom, ki pospeši sproščanje inzulina, povečuje število inzulinskih receptorjev in njihovo afiniteto za inzulin, znižuje koncentracijo glukagona v serumu in zavira glukoneogenezo v jetrih, npr. glibenklamid, klorpropamid
arteriosklerotičnostima | ARTERIOSKLEROTIČNOST - [pravopis]
bilateralnosimetričnega | BILATERALNOSIMETRIČEN - [geol.] v zvezi »bilateralnosimetrična hišica«: hišica, ki ima samo eno ravnino simetrije
bilateralnosimetričnemu | BILATERALNOSIMETRIČEN - [geol.] v zvezi »bilateralnosimetrična hišica«: hišica, ki ima samo eno ravnino simetrije
bilateralnosimetričnima | BILATERALNOSIMETRIČEN - [geol.] v zvezi »bilateralnosimetrična hišica«: hišica, ki ima samo eno ravnino simetrije
bilateralnosimetričnimi | BILATERALNOSIMETRIČEN - [geol.] v zvezi »bilateralnosimetrična hišica«: hišica, ki ima samo eno ravnino simetrije
