buržoaznonacionalističnega | BURŽOAZNONACIONALISTIČEN - nanašajoč se na buržoazni nacionalizem
buržoaznonacionalističnemu | BURŽOAZNONACIONALISTIČEN - nanašajoč se na buržoazni nacionalizem
buržoaznonacionalističnima | BURŽOAZNONACIONALISTIČEN - nanašajoč se na buržoazni nacionalizem
buržoaznonacionalističnimi | BURŽOAZNONACIONALISTIČEN - nanašajoč se na buržoazni nacionalizem
dialektičnomaterialističen | nanašajoč se na dialektični materializem
dialektičnomaterialistična | DIALEKTIČNOMATERIALISTIČEN - nanašajoč se na dialektični materializem
dialektičnomaterialistične | DIALEKTIČNOMATERIALISTIČEN - nanašajoč se na dialektični materializem
dialektičnomaterialistični | DIALEKTIČNOMATERIALISTIČEN - nanašajoč se na dialektični materializem
dialektičnomaterialistično | DIALEKTIČNOMATERIALISTIČEN - nanašajoč se na dialektični materializem
difenilbutilpiperidinskega | DIFENILBUTILPIPERIDINSKI - [farm.] v zvezi »difenilbutilpiperidinski derivati«: nevroleptiki, po strukturi in mehanizmu delovanja podobni butirofenonom, ki imajo namesto karbonilne skupine vezan dodatni fenilni obroč, npr. pimozid
difenilbutilpiperidinskemu | DIFENILBUTILPIPERIDINSKI - [farm.] v zvezi »difenilbutilpiperidinski derivati«: nevroleptiki, po strukturi in mehanizmu delovanja podobni butirofenonom, ki imajo namesto karbonilne skupine vezan dodatni fenilni obroč, npr. pimozid
difenilbutilpiperidinskima | DIFENILBUTILPIPERIDINSKI - [farm.] v zvezi »difenilbutilpiperidinski derivati«: nevroleptiki, po strukturi in mehanizmu delovanja podobni butirofenonom, ki imajo namesto karbonilne skupine vezan dodatni fenilni obroč, npr. pimozid
difenilbutilpiperidinskimi | DIFENILBUTILPIPERIDINSKI - [farm.] v zvezi »difenilbutilpiperidinski derivati«: nevroleptiki, po strukturi in mehanizmu delovanja podobni butirofenonom, ki imajo namesto karbonilne skupine vezan dodatni fenilni obroč, npr. pimozid
elektrokemiluminiscenčnega | ELEKTROKEMILUMINISCENČEN - [farm.] v zvezi »elektrokemiluminiscenčni imunski test«: tehnika merjenja antigena v vzorcih, pri kateri se količina nastalih imunskih kompleksov določi na podlagi izmerjene elektrokemiluminiscence
elektrokemiluminiscenčnemu | ELEKTROKEMILUMINISCENČEN - [farm.] v zvezi »elektrokemiluminiscenčni imunski test«: tehnika merjenja antigena v vzorcih, pri kateri se količina nastalih imunskih kompleksov določi na podlagi izmerjene elektrokemiluminiscence
elektrokemiluminiscenčnima | ELEKTROKEMILUMINISCENČEN - [farm.] v zvezi »elektrokemiluminiscenčni imunski test«: tehnika merjenja antigena v vzorcih, pri kateri se količina nastalih imunskih kompleksov določi na podlagi izmerjene elektrokemiluminiscence
elektrokemiluminiscenčnimi | ELEKTROKEMILUMINISCENČEN - [farm.] v zvezi »elektrokemiluminiscenčni imunski test«: tehnika merjenja antigena v vzorcih, pri kateri se količina nastalih imunskih kompleksov določi na podlagi izmerjene elektrokemiluminiscence
fosfatidilinozitoldifosfat | > INOZITOLTRIFOSFAT - [farm.] sekundarni prenašalec, ki nastane po hidrolizi fosfatidilinozitoldifosfata s fosfolipazo C in med drugim sprošča kalcijeve ione iz endoplazemskega retikuluma
medicinskorehabilitacijska | MEDICINSKOREHABILITACIJSKI - [epravopis] nanašajoč se na medicinsko rehabilitacijo
medicinskorehabilitacijske | MEDICINSKOREHABILITACIJSKI - [epravopis] nanašajoč se na medicinsko rehabilitacijo
medicinskorehabilitacijski | [epravopis] nanašajoč se na medicinsko rehabilitacijo
medicinskorehabilitacijsko | MEDICINSKOREHABILITACIJSKI - [epravopis] nanašajoč se na medicinsko rehabilitacijo
petinsedemdesetletničinega | PETINSEDEMDESETLETNIČIN - [pravopis]
petinsedemdesetletničinemu | PETINSEDEMDESETLETNIČIN - [pravopis]
petinsedemdesetletničinima | PETINSEDEMDESETLETNIČIN - [pravopis]
petinsedemdesetletničinimi | PETINSEDEMDESETLETNIČIN - [pravopis]
starocerkvenoslovanščinama | STAROCERKVENOSLOVANŠČINA - stara cerkvena slovanščina
starocerkvenoslovanščinami | STAROCERKVENOSLOVANŠČINA - stara cerkvena slovanščina
vsezaverodomcesarjevstvoma | VSEZAVERODOMCESARJEVSTVO - miselnost konservativne smeri v slovenski politiki v 19. stoletju, ki se je izražala v geslu vse za vero, dom, cesarja
