dialektičnomaterialističnega | DIALEKTIČNOMATERIALISTIČEN - nanašajoč se na dialektični materializem
dialektičnomaterialističnemu | DIALEKTIČNOMATERIALISTIČEN - nanašajoč se na dialektični materializem
dialektičnomaterialističnima | DIALEKTIČNOMATERIALISTIČEN - nanašajoč se na dialektični materializem
dialektičnomaterialističnimi | DIALEKTIČNOMATERIALISTIČEN - nanašajoč se na dialektični materializem
fosfatidilinozitoldifosfatih | FOSFATIDILINOZITOLDIFOSFAT - > INOZITOLTRIFOSFAT - [farm.] sekundarni prenašalec, ki nastane po hidrolizi fosfatidilinozitoldifosfata s fosfolipazo C in med drugim sprošča kalcijeve ione iz endoplazemskega retikuluma
fosfatidilinozitoldifosfatom | FOSFATIDILINOZITOLDIFOSFAT - > INOZITOLTRIFOSFAT - [farm.] sekundarni prenašalec, ki nastane po hidrolizi fosfatidilinozitoldifosfata s fosfolipazo C in med drugim sprošča kalcijeve ione iz endoplazemskega retikuluma
fosfatidilinozitoldifosfatov | FOSFATIDILINOZITOLDIFOSFAT - > INOZITOLTRIFOSFAT - [farm.] sekundarni prenašalec, ki nastane po hidrolizi fosfatidilinozitoldifosfata s fosfolipazo C in med drugim sprošča kalcijeve ione iz endoplazemskega retikuluma
medicinskorehabilitacijskega | MEDICINSKOREHABILITACIJSKI - [epravopis] nanašajoč se na medicinsko rehabilitacijo
medicinskorehabilitacijskemu | MEDICINSKOREHABILITACIJSKI - [epravopis] nanašajoč se na medicinsko rehabilitacijo
medicinskorehabilitacijskima | MEDICINSKOREHABILITACIJSKI - [epravopis] nanašajoč se na medicinsko rehabilitacijo
medicinskorehabilitacijskimi | MEDICINSKOREHABILITACIJSKI - [epravopis] nanašajoč se na medicinsko rehabilitacijo
